Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,Month,Year
23,23.8,29.5,20.8,-,76,0,4.0,6.5,9.4,-,o,,,,3.0,2008.0
24,23.8,30.2,20.3,-,73,0,5.8,4.6,7.6,-,,,,,3.0,2008.0
25,24.5,29.6,20.4,-,68,2.03,6.9,4.4,5.4,-,,,,,3.0,2008.0
26,24.3,30.9,20.2,-,71,0,6.3,4.1,5.4,-,o,,,,3.0,2008.0
27,24.3,30.0,19.0,-,73,18.03,6.3,1.3,3.5,-,,,,,3.0,2008.0
28,24.3,31.2,19.8,-,72,0,5.5,2.8,5.4,-,o,,,,3.0,2008.0
29,25.2,31.5,18.8,-,65,3.05,6.9,2.4,5.4,-,,,,,3.0,2008.0
30,24.2,30.8,21.2,-,74,0,6.3,3.1,7.6,-,o,,,,3.0,2008.0
31,25.1,29.9,20.8,-,69,2.03,6.3,3.7,7.6,-,,,,,3.0,2008.0
1,25.2,30.0,22.2,-,69,0.0,6.3,3.1,9.4,-,,,,,4.0,2008.0
2,24.0,28.1,21.4,-,75,0.76,6.4,4.6,14.8,-,o,,o,,4.0,2008.0
3,24.7,30.2,20.7,-,69,6.1,6.3,1.3,5.4,-,,,,,4.0,2008.0
4,23.3,27.7,20.8,-,78,0.0,5.3,2.8,7.6,-,o,,o,,4.0,2008.0
5,25.3,30.2,20.3,-,64,2.03,6.3,3.7,7.6,-,,,,,4.0,2008.0
6,24.6,30.1,20.8,-,63,0.0,6.9,6.1,7.6,-,,,,,4.0,2008.0
7,24.7,30.3,19.9,-,61,0.0,6.6,6.3,7.6,-,,,,,4.0,2008.0
8,25.9,32.2,18.9,-,44,0.0,6.6,5.2,7.6,-,,,,,4.0,2008.0
9,26.1,32.9,20.0,-,42,0.0,6.9,6.3,11.1,-,,,,,4.0,2008.0
10,25.7,31.8,20.2,-,43,0.0,6.3,5.9,9.4,-,,,,,4.0,2008.0
11,26.2,32.8,20.0,-,40,0.0,6.3,5.9,9.4,-,,,,,4.0,2008.0
12,28.6,34.0,19.7,-,29,0.0,8.9,5.6,11.1,-,,,,,4.0,2008.0
13,27.4,34.9,20.4,-,39,0.0,6.9,4.1,5.4,-,,,,,4.0,2008.0
14,27.7,35.2,21.8,-,47,0.0,6.9,5.6,7.6,-,,,,,4.0,2008.0
15,27.8,34.7,22.9,-,54,0.0,6.9,5.0,9.4,-,,,,,4.0,2008.0
16,28.1,34.5,22.6,-,52,0.0,6.3,4.8,7.6,-,,,,,4.0,2008.0
17,28.2,35.2,23.0,-,49,0.0,6.3,4.6,7.6,-,,,,,4.0,2008.0
18,27.1,35.0,22.7,-,54,0.0,6.3,4.8,7.6,-,,,,,4.0,2008.0
19,28.8,35.2,22.3,-,45,0.0,6.3,6.5,9.4,-,,,,,4.0,2008.0
20,28.5,35.5,23.3,-,47,0.0,6.3,3.1,7.6,-,,,,,4.0,2008.0
21,29.3,36.9,22.1,-,37,0.0,6.9,4.4,5.4,-,,,,,4.0,2008.0
22,27.6,35.6,23.2,-,56,0.0,6.9,4.6,7.6,-,,,,,4.0,2008.0
23,27.7,34.6,21.6,-,52,4.06,5.5,4.8,9.4,-,o,,o,,4.0,2008.0
24,27.8,34.3,21.7,-,49,0.0,6.3,4.3,5.4,-,,,,,4.0,2008.0
25,27.8,35.0,22.2,-,47,0.0,6.3,4.8,7.6,-,,,,,4.0,2008.0
26,27.9,34.6,21.8,-,51,0.0,6.9,4.6,5.4,-,,,,,4.0,2008.0
27,27.9,34.2,23.3,-,55,0.0,6.3,3.0,7.6,-,,,,,4.0,2008.0
28,27.1,32.1,23.4,-,64,0.0,6.3,7.8,11.1,-,,,,,4.0,2008.0
29,25.6,32.7,21.0,-,67,0.0,4.8,8.9,11.1,-,o,,o,,4.0,2008.0
30,26.2,36.0,20.5,-,64,12.95,5.5,6.3,9.4,-,o,,o,,4.0,2008.0
1,27.1,33.4,22.0,-,64,0.0,6.9,9.1,11.1,-,,,,,5.0,2008.0
2,27.0,35.0,21.8,-,62,0.51,6.3,7.2,14.8,-,o,,o,,5.0,2008.0
3,27.8,35.4,22.9,-,54,0.0,6.3,5.9,9.4,-,,,,,5.0,2008.0
4,27.6,35.6,22.2,-,46,0.0,6.3,5.9,11.1,-,,,,,5.0,2008.0
5,29.2,35.4,24.0,-,39,0.0,6.9,4.6,7.6,-,,,,,5.0,2008.0
6,26.1,34.4,20.9,-,59,0.0,5.8,8.0,11.1,-,,,,,5.0,2008.0
7,27.6,35.5,21.9,-,51,0.0,5.5,6.5,11.1,-,o,,,,5.0,2008.0
8,25.5,35.2,22.0,-,61,0.76,4.8,8.3,14.8,-,o,,o,,5.0,2008.0
9,25.9,32.7,21.2,-,61,1.02,6.9,4.6,9.4,-,,,,,5.0,2008.0
10,27.2,34.8,22.0,-,56,0.0,6.9,9.1,11.1,-,,,,,5.0,2008.0
11,27.8,34.5,21.8,-,52,0.0,5.5,4.1,7.6,-,,,,,5.0,2008.0
12,27.8,35.1,22.5,-,52,0.0,6.9,6.1,9.4,-,,,,,5.0,2008.0
13,27.9,35.6,22.0,-,50,0.0,6.9,7.4,9.4,-,,,,,5.0,2008.0
14,27.6,35.3,21.5,-,51,0.0,6.9,7.0,9.4,-,,,,,5.0,2008.0
15,27.9,35.0,22.0,-,50,0.0,6.9,8.1,11.1,-,,,,,5.0,2008.0
16,28.4,35.5,22.2,-,48,0.0,7.4,8.0,11.1,-,,,,,5.0,2008.0
17,28.1,35.1,21.8,-,50,0.0,7.4,9.1,11.1,-,,,,,5.0,2008.0
18,27.8,35.0,22.2,-,53,0.0,6.6,5.2,-,-,,,,,5.0,2008.0
19,26.6,35.1,22.4,-,61,0.0,5.5,4.4,7.6,-,o,,,,5.0,2008.0
20,26.4,34.2,21.2,-,61,1.02,6.0,6.7,11.1,-,o,,o,,5.0,2008.0
21,25.5,34.0,20.6,-,69,2.03,6.3,6.3,14.8,-,o,,o,,5.0,2008.0
22,24.9,32.4,20.7,-,74,19.05,6.8,3.0,5.4,-,o,,,,5.0,2008.0
23,23.9,32.1,20.9,-,81,9.91,5.5,3.3,5.4,-,o,,o,,5.0,2008.0
24,24.4,31.5,20.4,-,75,13.97,6.0,5.0,7.6,-,o,,o,,5.0,2008.0
25,25.5,31.9,21.3,-,70,12.95,6.3,8.1,22.2,-,o,,o,,5.0,2008.0
26,26.4,32.4,20.9,-,60,1.02,8.5,3.3,9.4,-,,,,,5.0,2008.0
27,24.7,32.9,21.8,-,72,0.0,5.5,3.3,5.4,-,o,,o,,5.0,2008.0
28,23.8,31.9,21.4,-,76,3.05,5.5,4.6,5.4,-,o,,o,,5.0,2008.0
29,25.1,31.0,20.8,-,70,3.05,6.3,9.3,18.3,-,o,,o,,5.0,2008.0
30,24.8,31.2,20.3,-,72,3.05,7.7,6.7,9.4,-,o,,o,,5.0,2008.0
31,23.3,30.0,20.4,-,82,0.0,5.5,7.2,9.4,-,o,,o,,5.0,2008.0
1,22.5,29.8,18.7,-,86,66.04,6.3,6.3,7.6,-,o,,o,,6.0,2008.0
2,24.7,30.0,19.5,-,74,43.94,6.9,4.6,7.6,-,,,,,6.0,2008.0
3,25.8,31.2,22.0,-,69,0.0,8.2,8.0,9.4,-,,,,,6.0,2008.0
4,25.8,31.9,20.7,-,65,0.0,6.3,6.3,9.4,-,,,,,6.0,2008.0
5,26.1,31.0,21.2,-,62,0.0,9.2,10.0,14.8,-,o,,,,6.0,2008.0
6,24.7,30.2,20.7,-,72,0.51,4.8,11.3,14.8,-,o,,,,6.0,2008.0
7,24.1,28.5,20.9,-,69,0.0,7.4,10.4,11.1,-,,,,,6.0,2008.0
8,23.6,28.0,20.4,-,71,0.0,4.0,12.0,16.5,-,,,,,6.0,2008.0
9,22.9,27.3,20.2,-,76,0.0,5.0,10.6,16.5,-,o,,,,6.0,2008.0
10,23.8,28.1,20.7,-,74,0.0,6.3,9.8,11.1,-,o,,,,6.0,2008.0
11,24.3,28.8,20.9,-,73,0.0,7.7,9.8,13.0,-,,,,,6.0,2008.0
12,23.3,26.5,20.5,-,75,0.0,4.0,10.0,18.3,-,o,,,,6.0,2008.0
13,23.3,27.3,21.0,-,73,0.0,4.0,12.2,18.3,-,,,,,6.0,2008.0
14,23.3,28.1,20.2,-,76,0.0,6.9,9.8,11.1,-,o,,,,6.0,2008.0
15,23.6,27.6,20.1,-,70,0.0,5.8,10.0,14.8,-,o,,,,6.0,2008.0
16,24.4,30.0,20.5,-,68,0.0,4.8,15.7,22.2,-,,,,,6.0,2008.0
17,23.8,27.0,20.9,-,70,0.0,5.5,14.8,22.2,-,,,,,6.0,2008.0
18,23.9,28.9,20.0,-,73,0.0,6.3,11.9,14.8,-,o,,,,6.0,2008.0
19,24.3,29.4,20.4,-,69,0.0,6.3,10.9,14.8,-,o,,,,6.0,2008.0
20,25.3,31.9,19.9,-,66,0.0,4.0,7.8,11.1,-,o,,,,6.0,2008.0
21,25.3,31.6,20.8,-,69,0.25,6.3,8.0,11.1,-,o,,,,6.0,2008.0
22,24.6,31.5,21.2,-,71,0.25,6.3,7.8,11.1,-,o,,o,,6.0,2008.0
23,24.3,30.9,20.5,-,70,3.05,6.3,9.4,14.8,-,o,,,,6.0,2008.0
24,24.8,30.4,20.4,-,63,0.0,7.4,9.4,66.5,-,,,,,6.0,2008.0
25,24.3,31.0,19.9,-,66,0.25,6.3,10.2,14.8,-,o,,,,6.0,2008.0
26,24.2,29.4,19.9,-,71,0.0,6.3,8.5,11.1,-,o,,,,6.0,2008.0
27,24.3,29.8,20.6,-,71,0.0,9.2,10.6,14.8,-,,,,,6.0,2008.0
28,22.7,27.4,20.4,-,80,2.03,6.3,9.3,11.1,-,o,,,,6.0,2008.0
29,23.1,29.2,20.1,-,75,0.0,6.3,10.6,18.3,-,o,,,,6.0,2008.0
30,23.5,29.4,19.7,-,68,0.0,5.5,11.3,14.8,-,o,,,,6.0,2008.0
1,22.2,27.5,19.6,-,81,7.11,6.9,9.3,11.1,-,o,,,,7.0,2008.0
2,22.8,28.8,18.6,-,79,16,6.9,7.2,11.1,-,o,,o,,7.0,2008.0
3,24.3,30.3,19.5,-,72,0,6.3,7.4,9.4,-,,,,,7.0,2008.0
4,25.0,30.4,20.3,-,67,0,6.3,7.0,11.1,-,,,,,7.0,2008.0
5,24.5,28.8,20.6,-,71,0,8.5,6.5,9.4,-,,,,,7.0,2008.0
6,23.3,26.4,20.3,-,76,0,6.6,8.0,11.1,-,o,,,,7.0,2008.0
7,22.7,29.0,20.4,-,79,0,6.3,8.1,11.1,-,o,,,,7.0,2008.0
8,23.0,29.4,19.8,-,77,7.11,8.5,7.8,14.8,-,o,,,,7.0,2008.0
9,22.4,27.5,19.8,-,83,0.51,5.5,9.8,14.8,-,o,,,,7.0,2008.0
10,23.3,27.9,19.8,-,73,4.06,7.7,9.3,14.8,-,,,,,7.0,2008.0
11,23.8,30.1,19.5,-,67,0,6.9,10.0,13.0,-,,,,,7.0,2008.0
12,24.3,29.7,19.8,-,66,0,6.3,9.1,11.1,-,,,,,7.0,2008.0
13,25.6,31.6,19.7,-,61,0,8.5,6.3,11.1,-,,,,,7.0,2008.0
14,25.6,32.4,21.2,-,67,-,6.6,5.7,11.1,-,o,,o,,7.0,2008.0
15,24.3,29.7,19.8,-,78,40.89,6.9,3.0,5.4,-,o,,o,,7.0,2008.0
16,24.3,28.7,20.3,-,75,64.01,5.5,4.1,5.4,-,,,,,7.0,2008.0
17,24.8,29.6,21.1,-,72,0,9.2,4.6,7.6,-,,,,,7.0,2008.0
18,24.9,30.1,21.2,-,72,0,6.9,5.0,9.4,-,,,,,7.0,2008.0
19,23.8,26.4,20.4,-,78,2.03,6.9,6.3,9.4,-,o,,,,7.0,2008.0
20,23.9,29.9,20.4,-,76,0,5.8,4.1,7.6,-,o,,o,,7.0,2008.0
21,23.9,29.5,20.2,-,83,83.06,6.0,4.1,7.6,-,o,,o,,7.0,2008.0
22,23.8,29.7,20.0,-,83,7.11,5.5,3.0,3.5,-,o,,,,7.0,2008.0
23,24.6,30.4,20.9,-,76,5.08,6.3,4.6,7.6,-,,,,,7.0,2008.0
24,23.0,28.6,20.4,-,80,0.51,6.3,8.0,9.4,-,o,,o,,7.0,2008.0
25,21.3,25.0,19.9,-,89,10.92,4.8,8.7,11.1,-,o,,,,7.0,2008.0
26,22.1,27.1,19.5,-,83,7.11,4.0,9.4,18.3,-,o,,,,7.0,2008.0
27,21.3,25.2,19.8,-,89,0.25,4.0,6.9,11.1,-,o,,,,7.0,2008.0
28,22.3,26.3,19.3,-,81,14.99,4.0,14.1,22.2,-,,,,,7.0,2008.0
29,21.9,27.0,20.0,-,83,0,6.3,11.1,14.8,-,o,,,,7.0,2008.0
30,22.2,25.4,19.8,-,83,1.02,5.5,11.5,14.8,-,o,,,,7.0,2008.0
31,22.6,27.5,20.0,-,84,7.11,4.5,6.9,14.8,-,o,,,,7.0,2008.0
1,22.6,28.9,19.9,-,84,3.05,6,8.3,11.1,-,o,,,,8.0,2008.0
2,23.2,26.9,20.4,-,81,2.03,6.9,7,14.8,-,,,,,8.0,2008.0
3,22.6,26,20.4,-,84,0,6.9,6.5,7.6,-,o,,,,8.0,2008.0
4,22.8,26.6,20.4,-,81,2.03,6.3,6.5,9.4,-,o,,,,8.0,2008.0
5,22.8,28.4,20,-,81,0.25,4.8,7.2,14.8,-,o,,,,8.0,2008.0
6,23.5,28.5,20.2,-,77,0.76,4.8,11.1,22.2,-,o,,,,8.0,2008.0
7,24,29.2,20.6,-,73,0.51,5.5,11.1,14.8,-,o,,,,8.0,2008.0
8,22.6,26.1,21,-,79,0.25,4.8,9.3,14.8,-,o,,,,8.0,2008.0
9,22.4,25.5,20.5,-,76,0.51,4,13,22.2,-,o,,,,8.0,2008.0
10,22.2,27.1,20,-,79,0,5.5,13.5,22.2,-,o,,,,8.0,2008.0
11,22.2,26.8,19.5,-,81,0.25,5.3,10,14.8,-,o,,,,8.0,2008.0
12,22.3,27.9,19.3,-,85,0.25,5.5,8.5,14.8,-,o,,,,8.0,2008.0
13,22.3,26.9,20.2,-,86,4.06,4,8.5,14.8,-,o,,,,8.0,2008.0
14,21.5,26,19.4,-,89,5.08,4,10.7,18.3,-,o,,o,,8.0,2008.0
15,21.6,25,19.4,-,88,57.91,4.8,10,14.8,-,o,,,,8.0,2008.0
16,22.2,26.3,19.3,-,85,1.02,5.5,6.7,11.1,-,o,,,,8.0,2008.0
17,22.8,27.1,20,-,83,2.03,6.3,6.3,13,-,o,,o,,8.0,2008.0
18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,2008.0
19,23.4,28.1,20.5,-,82,42.93,6,5.9,11.1,-,o,,,,8.0,2008.0
20,22.7,26.6,20.4,-,84,8.89,5.5,4.4,11.1,-,o,,,,8.0,2008.0
21,22.3,27.1,20.5,-,85,0,6.9,3.3,11.1,-,o,,o,,8.0,2008.0
22,23.4,28.1,19.8,-,76,2.03,9.2,5.7,7.6,-,,,,,8.0,2008.0
23,23.5,28.7,19.9,-,72,0,5.5,7.8,11.1,-,,,,,8.0,2008.0
24,23.3,28.2,19.6,-,75,0,5.5,3.3,11.1,-,o,,,,8.0,2008.0
25,23.5,28.8,20.4,-,80,4.06,4.8,2.8,5.4,-,o,,o,,8.0,2008.0
26,22.6,29.1,19.5,-,84,25.91,4.8,3.9,7.6,-,o,,o,,8.0,2008.0
27,23.2,29.2,19.4,-,83,66.04,6.3,1.9,3.5,-,o,,o,,8.0,2008.0
28,24.3,29.8,20,-,79,57.91,6.3,2,5.4,-,o,,,,8.0,2008.0
29,25.2,29.7,21.5,-,75,1.02,6.3,3,5.4,-,,,,,8.0,2008.0
30,24.2,29.9,21.8,-,79,0.51,6.3,2.2,5.4,-,o,,,,8.0,2008.0
31,22.4,26.5,20.9,-,90,9.91,4,2.2,3.5,-,o,,o,,8.0,2008.0
1,23.4,27.5,20.7,-,85,21.08,6.3,2.8,3.5,-,o,,o,,9.0,2008.0
2,23.7,29.3,19.1,-,84,65.02,6.3,1.9,5.4,-,o,,o,,9.0,2008.0
3,23.6,27.8,21.2,-,85,10.92,5.5,1.5,5.4,-,o,,o,,9.0,2008.0
4,24.7,30.1,19.5,-,74,7.11,6.9,3.3,5.4,-,o,,,,9.0,2008.0
5,25.2,30.6,21.8,-,75,0,6.9,3.3,5.4,-,,,,,9.0,2008.0
6,24.6,28.6,21.4,-,77,-,6.3,3.3,5.4,-,o,,o,,9.0,2008.0
7,22.4,26.0,20.6,-,83,9.91,6.3,6.3,11.1,-,o,,,,9.0,2008.0
8,21.9,26.0,19.6,-,84,0,4.5,5.9,9.4,-,o,,,,9.0,2008.0
9,22.3,26.4,19.2,-,82,22.1,6.3,8.7,9.4,-,o,,,,9.0,2008.0
10,22.2,26.5,19.7,-,83,0,6.3,7.0,11.1,-,o,,o,,9.0,2008.0
11,22.2,26.1,19.4,-,76,2.03,5.5,8.3,11.1,-,o,,,,9.0,2008.0
12,21.8,26.9,18.6,-,77,0,6.9,9.8,13.0,-,o,,,,9.0,2008.0
13,22.8,27.5,19.1,-,74,0,6.3,8.9,11.1,-,o,,,,9.0,2008.0
14,22.1,27.5,19.2,-,81,0,6.3,6.7,11.1,-,o,,,,9.0,2008.0
15,23.0,27.7,18.4,-,71,1.02,6.9,7.0,11.1,-,,,,,9.0,2008.0
16,22.9,27.7,19.8,-,70,0,6.3,9.1,11.1,-,,,,,9.0,2008.0
17,23.6,29.5,18.6,-,69,0,6.9,8.3,11.1,-,,,,,9.0,2008.0
18,23.2,28.7,18.9,-,68,0,4.8,5.9,11.1,-,,,,,9.0,2008.0
19,22.9,27.6,19.0,-,78,0,5.5,7.2,9.4,-,o,,,,9.0,2008.0
20,23.7,28.0,20.3,-,70,0.51,5.5,4.6,7.6,-,,,,,9.0,2008.0
21,23.9,29.0,20.0,-,71,0,6.9,5.2,7.6,-,,,,,9.0,2008.0
22,24.1,30.4,19.4,-,67,0,5.5,5.6,14.8,-,,,,,9.0,2008.0
23,24.8,29.5,19.8,-,66,0,6.9,4.8,7.6,-,,,,,9.0,2008.0
24,24.3,29.7,20.4,-,70,0,6.3,4.8,7.6,-,,,,,9.0,2008.0
25,24.8,30.0,20.5,-,63,0.51,6.3,5.7,7.6,-,,,,,9.0,2008.0
26,24.1,30.4,20.1,-,64,0,5.5,4.3,14.8,-,,,,,9.0,2008.0
27,24.7,31.3,19.7,-,61,0,9.2,2.2,5.4,-,,,,,9.0,2008.0
28,24.5,31.6,19.5,-,53,0,6.9,3.9,5.4,-,,,,,9.0,2008.0
29,24.6,30.3,20.0,-,61,0,6.9,2.0,3.5,-,,,,,9.0,2008.0
30,25.2,30.4,20.2,-,61,0,5.5,1.5,5.4,-,,,,,9.0,2008.0
1,25.2,31.4,21.3,-,67,0,6.3,2.8,5.4,-,,,,,10.0,2008.0
2,24.0,29.8,21.0,-,75,17.02,5.5,3.1,5.4,-,o,,o,,10.0,2008.0
3,23.3,29.1,20.8,-,82,5.08,5.5,1.9,3.5,-,o,,,,10.0,2008.0
4,23.5,28.8,20.9,-,81,0.25,7.6,2.0,5.4,-,o,,o,,10.0,2008.0
5,22.1,27.3,20.4,-,87,8.89,5.5,1.5,3.5,-,o,,,,10.0,2008.0
6,23.3,28.4,20.4,-,83,5.08,6.0,2.8,3.5,-,o,,o,,10.0,2008.0
7,22.9,29.3,19.6,-,81,40.89,6.0,2.2,3.5,-,o,,,,10.0,2008.0
8,24.0,28.7,20.3,-,79,2.03,6.9,2.0,5.4,-,,,,,10.0,2008.0
9,24.2,30.4,20.5,-,74,0,6.3,2.8,3.5,-,,,,,10.0,2008.0
10,24.2,29.7,20.6,-,77,1.02,4.8,3.0,5.4,-,o,,,,10.0,2008.0
11,23.9,29.3,20.4,-,75,0.51,5.5,3.9,5.4,-,o,,o,,10.0,2008.0
12,23.2,28.0,20.0,-,77,0,6.9,5.7,11.1,-,o,,,,10.0,2008.0
